Item,References,Value,Footprint,Quantity,LCSC_Part_Number,MFR_Part_Number,Description
1,"C1, C2, C3, C21, C27, C28, C34, C35, C36, C37, C38",100nF,C0603,11,C45000,GRM188R71C104KA01D,100nF 0603 X7R
2,"C6, C20, C22, C24",10uF,C0805,4,C440198,GRM21BR61H106KE43L,10µF 0805 X5R
3,"C30, C31, C32, C33",470nF,C0402,4,C106255,CC0402KRX5R6BB474,470nF 10V X5R 0402
4,C10,1uF,C0603,1,C1592,CL10A105KO8NNNC,1µF 16V X7R 0603
5,C29,4.7uF,C0603,1,C1705,CL10A475KP8NNNC,4.7µF 10V X5R 0603
6,"R1, R2",10kΩ,R0603,2,C15401,0603WAJ0103T5E,10kΩ 0603
7,"R12, R13",100kΩ,R0402,2,C124427,,100kΩ 0402 Precision Resistor
8,R7,2.2Ω,R0402,1,C19450,,2.2Ω 0402 Resistor
9,L2,BLM18AG601SN1D,L0603,1,C1713,BLM18AG601SN1D,Ferrite Bead 600Ω @ 100MHz
10,"U3, U5, U9",TMUX1104DGSR,VSSOP-10_L3.0-W3.0-P0.50-LS4.9-BL,3,C2879206,TMUX1104DGSR,4:1 Analog Switch
11,"U11, U14",LMP7721MA/NOPB,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,2,C650309,LMP7721MA/NOPB,Ultra-Low Bias Electrometer Op Amp
12,U1,ESP32-S3-MINI-1-N4R2,BULETM-SMD_ESP32-S3-MINI-1-N8,1,C19330,ESP32-S3-MINI-1-N4R2,ESP32-S3 Wi-Fi/BLE Module
13,U2,INA333AIDGKR,MSOP-8_L3.0-W3.0-P0.65-LS5.0-BL,1,C327251,INA333AIDGKR,Instrumentation Amplifier
14,U4,AD5941BCPZ-RL7,LFCSP-48_L7.0-W7.0-P0.50-BL-EP5.1,1,C3013941,AD5941BCPZ-RL7,Bioimpedance / Electrochemical AFE
15,U6,BM03B-SRSS-TB,CONN-SMD-3P-P1.00_BM03B-SRSS-TB-LF-SN,1,C160389,BM03B-SRSS-TB(LF)(SN),JST SH 3-Pin Connector
16,"SW1, SW2",K2-1808SN-A4SW,KEY-SMD_4P-L4.2-W3.2-P2.20-LS5.1-TL,2,C92589,K2-1808SN-A4SW-01,Tactile Pushbutton
17,"H3, H4",Header-Female,HDR-TH_5P-P2.54-V-F,2,C60491,,Female Header 1×5 2.54mm Through-hole
18,H1,MTP220-1102S1,HDR-TH_2P-P2.00-V-M,1,C376075,MTP220-1102S1,2-Pin Header
19,H5,Header,HDR-TH_5P-P2.54-H-M-W7.7-P,1,C50950,,Male Header 1×5 2.54mm Through-hole
20,J3,52610-1572,526101572,1,C7545775,52610-1572,Molex FFC/FPC Connector 15-Pin 1mm Pitch SMD
