Item,References,Value,Footprint,Quantity,LCSC_Part_Number,MFR_Part_Number,Description
1,"C11, C17, C18, C26, C36",10uF,C0805,5,C440198,GRM21BR61H106KE43L,10µF 50V X5R MLCC
2,"C13, C14, C15, C19, C23",22uF,C0805,5,C86816,GRM21BR61E226ME44L,22µF 25V X5R MLCC
3,"C5, C37, C39",1uF,C0603,3,C1592,CL10A105KO8NNNC,1µF 16V X7R MLCC
4,"C9, C25",470nF,C0603,2,C1623,CL10B474KA8NNNC,470nF 25V X7R MLCC
5,"C12, C16",100nF,C0603,2,C45000,GRM188R71C104KA01D,100nF 16V X7R MLCC
6,"R3, R4",5.5kΩ,R0805,2,C269748,RMC08055.1K1%N,5.1kΩ ±1% Resistor
7,"R6, R10",100kΩ,R0603,2,C14675,RC0603FR-07100KL,100kΩ ±1% Resistor
8,R8,680Ω,R0402,1,C413078,ERJ2RKF6800X,680Ω ±1% Resistor
9,R9,10kΩ,R0603,1,C15401,0603WAJ0103T5E,10kΩ ±5% Resistor
10,L1,2.7uH,IND-SMD_L7.5-W7.5_XAL7030,1,C5366402,XAL7030-272MEC,2.7µH 11.4A Power Inductor
11,"D2, D3",SS54FL,SMAF_L3.5-W2.6-LS4.7-RD,2,C115939,SS54FL,5A 40V Schottky Diode
12,D1,TVS,SOD-523_L1.2-W0.8-LS1.6-BI,1,C383211,LESD5D5.0CT1G,5V Bidirectional TVS/ESD Diode
13,U3,TPD2E001DRYR,SON-6_L1.5-W1.0-P0.50-BL,1,C379992,TPD2E001DRYR,Dual-Channel USB ESD Protection
14,U5,ADM7150ARDZ-3.3-R7,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL-EP3.1,1,C658444,ADM7150ARDZ-3.3-R7,3.3V 800mA Ultra-Low Noise LDO
15,U9,LM61495Q5RPHRQ1_C3188409,VQFN-16_L4.5-W3.5-P0.50-TL_TI_RPH,1,C3188409,LM61495Q5RPHRQ1,36V 10A Buck Converter
16,SW1,2MS1T2B2VS2QES,SW-TH_2MS1T2B2VS2QES,1,C545202,2MS1T2B2VS2QES,SPDT Toggle Switch
17,"H2, H3",A2541WV-5P,HDR-TH_5P-P2.54-V-M,2,C225480,A2541WV-5P,1×5 2.54mm Pin Header
18,LED1,FC-2012HRK-620D,LED0805-RD,1,C84256,NCD0805R1,Red Indicator LED
19,USB1,HC-TYPE-C-16P-01A-G,USB-C-SMD_G-SWITCH_GT-USB-7010EN,1,C2997435,HC-TYPE-C-16P-01A-G,USB Type-C Receptacle
20,"J4, J6",1053091202,CONN_SD-105309-100_02_MOL,2,C586233,1053091202,Wire To Board Connector
