Item,References,Value,Footprint,Quantity,LCSC_Part_Number,MFR_Part_Number,Description
1,"J1, J2, J4, J5",1-1734248-0,117342480,4,(We couldn’t find) ,1-1734248-0,"TE Connectivity 10-Pin 1mm ZIF FPC Connector, Vertical SMT"
2,"R12, R13",100kΩ,R0402,2,C124427,LMP7721MA/NOPB,100kΩ 0402 Precision Resistor
3,"R6, R10",100kΩ,R0603,2,C14675,RC0603FR-07100KL,100kΩ ±1% Resistor
4,"C1, C2, C3, C21, C27, C28, C34, C35, C36, C37, C38",100nF,C0603,11,C45000,GRM188R71C104KA01D,100nF 0603 X7R
5,"C12, C16",100nF,C0603,2,C45000,GRM188R71C104KA01D,100nF 16V X7R MLCC
6,"J4, J6",1053091202,CONN_SD-105309-100_02_MOL,2,C586233,1053091202,Wire To Board Connector
7,"R1, R2",10kΩ,R0603,2,C15401,0603WAJ0103T5E,10kΩ 0603
8,R9,10kΩ,R0603,1,C15401,0603WAJ0103T5E,10kΩ ±5% Resistor
9,"C6, C20, C22, C24",10uF,C0805,4,C440198,GRM21BR61H106KE43L,10µF 0805 X5R
10,"C11, C17, C18, C26, C36",10uF,C0805,5,C440198,GRM21BR61H106KE43L,10µF 50V X5R MLCC
11,C10,1uF,C0603,1,C1592,CL10A105KO8NNNC,1µF 16V X7R 0603
12,"C5, C37, C39",1uF,C0603,3,C1592,CL10A105KO8NNNC,1µF 16V X7R MLCC
13,R7,2.2Ω,R0402,1,C327251,RC0402FR-072R2L,2.2Ω 0402 Resistor
14,L1,2.7uH,IND-SMD_L7.5-W7.5_XAL7030,1,C5366402,XAL7030-272MEC,2.7µH 11.4A Power Inductor
15,"C13, C14, C15, C19, C23",22uF,C0805,5,C86816,GRM21BR61E226ME44L,22µF 25V X5R MLCC
16,SW1,2MS1T2B2VS2QES,SW-TH_2MS1T2B2VS2QES,1,C545202,2MS1T2B2VS2QES,SPDT Toggle Switch
17,C29,4.7uF,C0603,1,C1705,CL10A475KP8NNNC,4.7µF 10V X5R 0603
