fPCB
Comment,Designator,Footprint,Quantity,JLCPCB Part #,Manufacturer,MFR Part #,Description
100nF,"C2, C12, C15, C17, C20, C28, C29, C34, C36, C38",C0603,10,C45000,Murata Electronics,GRM188R71C104KA01D,100nF 16V X7R ±10% 0603 MLCC
10uF,"C1, C3, C4, C9, C14, C16, C31",C0805,7,C1713,Samsung Electro-Mechanics,CL21A106KOQNNNE,10uF 16V X5R ±10% 0805 MLCC
470nF,"C18, C21, C22, C23",C0402,4,C106255,YAGEO,CC0402KRX5R6BB474,470nF 10V X5R ±10% 0402 MLCC
1uF,"C10, C13, C19",C0603,3,C95843,Samsung Electro-Mechanics,CL10B105KP8NNNC,1uF 10V X7R ±10% 0603 MLCC
4.7uF,"C24, C37",C0603,2,C1705,Samsung Electro-Mechanics,CL10A475KP8NNNC,4.7uF 10V X5R ±10% 0603 MLCC
2.2uF,C35,C0603,1,C23630,Samsung Electro-Mechanics,CL10A225KO8NNNC,2.2uF 16V X5R ±10% 0603 MLCC
1.5nF,C39,C0402,1,C668348,Murata Electronics,GRM1555C1H152JA01D,1.5nF 50V C0G ±5% 0402 MLCC
1uF,C40,C0402,1,C14445,Samsung Electro-Mechanics,CL05A105KP5NNNC,1uF 10V X5R ±10% 0402 MLCC
2.2Ω,"R1, R2, R5",R0402,3,C327251,YAGEO,RC0402FR-072R2L,2.2Ω 50V 62.5mW Thick Film Resistor ±1% 0402
5.1kΩ,"R3, R4",R0402,2,C25905,UNI-ROYAL(Uniroyal Elec),0402WGF5101TCE,5.1kΩ 50V 62.5mW Thick Film Resistor ±1% 0402
10kΩ,"R8, R9",R0603,2,C15401,UNI-ROYAL(Uniroyal Elec),0603WAJ0103T5E,10kΩ 75V 100mW Thick Film Resistor ±5% 0603
10mΩ,"R11, R14",R0603,2,C114606,YAGEO,RC0603FR-0710ML,10MΩ 75V 100mW Thick Film Resistor ±1% 0603
2.2kΩ,"R16, R17",R0603,2,C114662,YAGEO,RC0603FR-072K2L,2.2kΩ 75V 100mW Thick Film Resistor ±1% 0603
680Ω,R6,R0402,1,C413078,PANASONIC,ERJ2RKF6800X,680Ω 100mW Thick Film Resistor ±1% 0402
3mΩ,R10,R0603,1,C2907163,FOJAN,FRC0603J305 TS,3MΩ 75V 100mW Thick Film Resistor ±5% 0603
374kΩ,R12,R0402,1,C25781,UNI-ROYAL(Uniroyal Elec),0402WGF3743TCE,374kΩ 50V 62.5mW Thick Film Resistor ±1% 0402
13.3kΩ,R13,R0402,1,C2974007,FOJAN,FRC0402F1332TS,13.3kΩ 50V 62.5mW Thick Film Resistor ±1% 0402
3kΩ,R15,R0402,1,C137987,YAGEO,RC0402FR-073KL,3kΩ 50V 62.5mW Thick Film Resistor ±1% 0402
BLM18AG601SN1D,L1,L0603,1,C19330,Murata Electronics,BLM18AG601SN1D,600Ω@100MHz 500mA 0603 Ferrite Bead
10uH,L3,L0603,1,C76798,TDK,MLZ1608M100WT000,10uH 250mA ±20% 0603 SMD Inductor
SS54FL,"D5, D6",SMAF_L3.5-W2.6-LS4.7-RD,2,C115939,Shikues,SS54FL,5A 40V Schottky Diode SMAF
TVS,D1,SOD-523_L1.2-W0.8-LS1.6-BI,1,C383211,LRC,LESD5D5.0CT1G,5V Bidirectional TVS ESD Protection SOD-523
MBR0540,D4,D_SOD-123,1,C78744,MCC(Micro Commercial Components),MBR0540-TP,500mA 40V Schottky Diode SOD-123
AD8606ARZ,"U8, U9",SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,2,C578773,Analog Devices,AD8606ARZ,Dual Precision Low Noise CMOS Op-Amp SOIC-8
ADM7150ARDZ-3.3-R7,U1,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL-EP3.1,1,C658444,Analog Devices,ADM7150ARDZ-3.3-R7,3.3V 800mA Ultra-Low Noise LDO Regulator SOIC-8-EP
AD5941BCPZ-RL7,U2,LFCSP-48_L7.0-W7.0-P0.50-BL-EP5.1,1,C650309,Analog Devices,AD5941BCPZ-RL7,High Speed Impedance and Electrochemical Front End AFE LFCSP-48
TPD2E001DRYR,U3,SON-6_L1.5-W1.0-P0.50-BL,1,C379992,Texas Instruments,TPD2E001DRYR,2-Channel ESD Protection SON-6
ESP32-S3-MINI-1-N4R2,U5,BULETM-SMD_ESP32-S3-MINI-1-N8,1,C3013941,Espressif Systems,ESP32-S3-MINI-1-N4R2,ESP32-S3 WiFi+BT Module 4MB Flash 2MB PSRAM SMD
LMR64010XMFX/NOPB,U6,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,C165138,Texas Instruments,LMR64010XMFX/NOPB,1A 40V Boost DC-DC Converter SOT-23-5
DAC80502DRXR,U7,WSON-10_L2.5-W2.5-W0.50-BL,1,C1880990,Texas Instruments,DAC80502DRXR,16-bit Dual Channel DAC WSON-10
TS391ILT,U10,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,C71896,STMicroelectronics,TS391ILT,Single Micropower Comparator SOT-23-5
TMUX1104DGSR,U11,VSSOP-10_L3.0-W3.0-P0.50-LS4.9-BL,1,C2879206,Texas Instruments,TMUX1104DGSR,4:1 Analog Multiplexer MSOP-10
AD8276ARZ,U12,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,C652621,Analog Devices,AD8276ARZ,Unity-Gain Difference Amplifier SOIC-8
MMBFJ201,U13,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,C891687,onsemi,MMBFJ201,N-Channel JFET 40V 350mW SOT-23
TPMAX4715EXK+T,U14,SOT-353_L2.2-W1.4-P0.65-LS2.4-BR,1,C46472308,,,Analog Switch SOT-353
ADG5401BRMZ,U15,MSOP-8_L3.0-W3.0-P0.65-LS4.9-BL,1,C657485,Analog Devices,ADG5401BRMZ,SPST Analog Switch High Voltage MSOP-8
REF3318AIDBZR,U16,SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,1,C115877,Texas Instruments,REF3318AIDBZR,1.8V Precision Voltage Reference SOT-23
K2-1808SN-A4SW,"SW2, SW3",KEY-SMD_4P-L4.2-W3.2-P2.20-LS5.1-TL,2,C92589,Korean Hroparts Elec,K2-1808SN-A4SW-01,SPST Tactile Switch SMD 4.2x3.3mm
MS-22D28-G020,SW4,SW-SMD_MS-22D28-G020,1,C963205,G-Switch,MS-22D28-G020,DPDT Slide Switch SMD 7.1x4mm
PWR,LED1,LED0805-RD,1,C84256,Foshan NationStar Optoelectronics,NCD0805R1,Red LED 630nm 25mA 0805
MMBT5551,Q1,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,C916370,JSMSEMI,MMBT5551,NPN Transistor 160V 600mA SOT-23
HC-TYPE-C-16P-01A-G,USB1,USB-C-SMD_G-SWITCH_GT-USB-7010EN,1,C2997435,HCTL,HC-TYPE-C-16P-01A-G,USB Type-C 16P Female Connector SMD
1-84952-6,J2,1849526,1,C591112,TE Connectivity,1-84952-6,16P 1mm FFC/FPC Right Angle Connector SMD
B2B-ZR-SM4-TF,P1,CONN-SMD_B2B-ZR-SM4-TF-LF-SN,1,C265284,JST,B2B-ZR-SM4-TF(LF)(SN),2P 1.5mm ZH Series Wire-to-Board Connector SMD
